,,,,,,,,Federal Housing Finance Agency,,,,,,
2015,01,3.97,1.22,4.10,28.8,317.5,419.6,77.6,,,,,,
2015,02,3.83,1.15,3.96,28.5,328.9,433.5,78.0,,,,,,
2015,03,3.84,1.16,3.96,29.2,329.2,430.1,78.5,,,,,,
2015,04,3.81,1.28,3.95,28.8,332.6,438.9,77.7,,,,,,
2015,05,3.79,1.14,3.92,28.9,336.0,436.9,79.0,,,,,,
2015,06,3.88,1.09,3.99,28.9,347.8,454.9,78.4,,,,,,
2015,07,4.00,1.17,4.12,29.1,346.1,451.8,78.9,,,,,,
2015,08,4.02,1.26,4.14,28.6,342.6,454.5,77.6,,,,,,
2015,09,4.00,1.20,4.11,28.6,352.5,468.4,77.6,,,,,,
2015,10,3.93,1.11,4.03,28.7,348.1,465.3,77.7,,,,,,
2015,11,3.90,1.22,4.01,28.7,351.1,465.8,78.1,,,,,,
2015,12,3.95,1.07,4.04,28.6,355.1,466.0,78.1,,,,,,
2016,01,3.95,1.21,4.06,29.0,354.2,469.1,77.6,,,,,,
2016,02,3.92,1.24,4.03,29.1,350.8,458.7,78.7,,,,,,
2016,03,3.83,1.16,3.92,29.3,346.2,450.5,79.3,,,,,,
2016,04,3.77,1.10,3.86,28.9,349.8,458.7,77.8,,,,,,
2016,05,3.73,1.09,3.82,29.2,354.2,465.5,78.2,,,,,,
2016,06,3.72,1.06,3.81,29.1,354.6,461.0,79.2,,,,,,
2016,07,3.65,1.12,3.75,29.0,358.8,469.0,78.5,,,,,,
2016,08,3.60,1.10,3.69,28.9,357.1,467.4,78.8,,,,,,
2016,09,3.56,1.07,3.58,28.8,350.3,460.7,78.1,,,,,,
2016,10,3.55,1.05,3.58,28.8,357.4,469.2,78.3,,,,,,
2016,11,3.59,1.12,3.63,28.8,359.4,464.1,79.4,,,,,,
2016,12,3.78,1.06,3.75,28.8,353.3,462.8,78.6,,,,,,
2017,01,4.02,1.13,4.07,28.6,354.8,462.9,78.7,,,,,,
2017,02,4.19,1.11,4.22,28.9,345.2,450.4,79.3,,,,,,
2017,03,4.13,1.05,4.16,28.9,358.9,473.3,78.4,,,,,,
2017,04,4.02,1.03,4.10,28.8,350.8,469.3,77.4,,,,,,
2017,05,4.01,0.94,4.05,28.8,359.3,470.8,78.5,,,,,,
2017,06,4.04,1.02,4.01,28.9,351.5,462.7,78.0,,,,,,
2017,07,3.95,1.06,3.88,28.6,355.5,469.5,77.6,,,,,,
2017,08,4.02,1.06,3.98,28.9,351.0,461.6,78.4,,,,,,
2017,09,3.99,1.06,3.90,28.8,347.5,456.1,78.2,,,,,,
2017,10,3.94,1.08,3.77,28.6,339.9,454.9,77.3,,,,,,
2017,11,4.02,1.08,3.82,28.9,335.1,436.3,79.1,,,,,,
2017,12,4.02,1.03,3.91,28.7,360.7,469.2,78.4,,,,,,
2018,01,4.07,1.08,3.96,28.9,334.4,439.2,78.5,,,,,,
2018,02,4.15,1.00,4.17,28.9,354.8,457.6,79.4,,,,,,
2018,03,4.35,0.99,4.36,28.9,332.2,431.1,79.0,,,,,,
2018,04,4.45,0.94,4.54,28.9,341.3,448.3,78.6,,,,,,
2018,05,4.53,0.88,4.57,28.8,354.4,467.3,78.2,,,,,,
2018,06,4.61,0.85,4.60,29.1,350.5,454.0,79.1,,,,,,
2018,07,4.63,0.94,4.63,28.8,347.6,460.1,77.8,,,,,,
2018,08,4.65,0.80,4.59,29.1,348.4,454.7,78.7,,,,,,
2018,09,4.65,0.84,4.64,28.8,332.6,440.9,77.6,,,,,,
2018,10,4.69,0.84,4.69,28.7,336.3,443.6,77.5,,,,,,
2018,11,4.79,0.80,4.79,28.7,343.9,449.8,78.3,,,,,,
2018,12,4.81,0.89,4.86,28.8,344.1,452.9,77.7,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Note: Starting in 2012, data is unweighted.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Source: Federal Housing Finance Agency,,,,,,,,,,,,,
,            Monthly Interest Rate Survey,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
